Marathi Word,Option 1,Option 2,Option 3,Option 4,Correct Option
आंबा (Aamba),Apple,Mango,Orange,Banana,Mango
मांजर (Maanjaar),Dog,Cat,Cow,Horse,Cat
पाणी (Paani),Milk,Juice,Water,Tea,Water
घर (Ghar),School,Shop,House,Park,House
नाना (Naana),Grandfather,Uncle,Brother,Father,Grandfather
डोळा (Dolyaa),Nose,Ear,Eye,Mouth,Eye
वाघ (Wagh),Lion,Tiger,Leopard,Cheetah,Tiger
चांदणी (Chaandni),Sun,Moon,Stars,Sky,Stars
शाळा (Shaala),School,Shop,Hospital,Park,School
पुस्तक (Pustak),Pen,Pencil,Book,Eraser,Book
फूल (Phool),Leaf,Flower,Branch,Root,Flower
पक्षी (Pakshi),Bird,Fish,Insect,Animal,Bird
नदी (Nadi),River,Lake,Sea,Ocean,River
वारा (Waara),Rain,Wind,Cloud,Sun,Wind
बहीण (Behen),Sister,Brother,Mother,Father,Sister
हात (Haat),Leg,Hand,Foot,Head,Hand
तोंड (Tond),Nose,Ear,Eye,Mouth,Mouth
रंग (Rang),Color,Sound,Smell,Taste,Color
शिक्षक (Shikshak),Student,Teacher,Doctor,Lawyer,Teacher
गाडी (Gadi),Car,Bike,Bus,Train,Car
